"Sorry but we are currently updating our shop","Entschuldigung, aber wir aktualisieren gerade unseren Shop"
"Related products","Verwandte Produkte"
"Add to cart","Kaufen"
"Buy","Kaufen"
"Don't miss out on great deals","Verpassen Sie keine tollen Angebote"
"My page","Meine Seite"
"Customer service","Kundendienst"
"faq_url","haufig-gestellte-fragen"
"<b>FAQ</b>","<b>Häufig gestellte Fragen</b>"
"<b>Shipping</b> for letters (no tracking)","<b>Versand</b> mit Brief (keine Sendungsverfolgung)"
"Feel free to contact us so we can help you. We will respond to you shortly. We wish you a very nice day.","Nehmen Sie Kontakt mit uns auf, damit wir Ihnen helfen können. Wir werden uns in Kürze bei Ihnen melden. Wir wünschen Ihnen einen schönen Tag."
"Show all %1 results →","Alle %1 Ergebnisse anzeigen →"
"Click to zoom","Klicken Sie zum Zoomen"
"Click to expand","Zum erweitern klicken"
"Tap to expand","Zum erweitern klicken"
"Double tap or pinch to zoom","Zum Zoomen zweimal drücken oder kneifen"
Choose shipping method in checkout,Wählen Sie die Versandart an der Kasse